"","protein","trajectory.unique.id","expr.cond1","displacement.per.ms",".group"
"333","AlkD","122-sample_dataset",10,-0.444938184243962,3
"334","AlkD","122-sample_dataset",10,-0.369301829803155,3
"335","AlkD","122-sample_dataset",10,-2.78091584840681,3
"336","AlkD","122-sample_dataset",10,-1.0816297809722,3
"337","AlkD","122-sample_dataset",10,-1.07360943622703,3
"338","AlkD","122-sample_dataset",10,0.549311889276749,3
"339","AlkD","122-sample_dataset",10,1.41811774419723,3
"340","AlkD","122-sample_dataset",10,0.803457330915555,3
"341","AlkD","122-sample_dataset",10,-1.24221084527831,3
"342","AlkD","122-sample_dataset",10,0.0890482169413882,3
"343","AlkD","122-sample_dataset",10,-0.643871304041093,3
"344","AlkD","122-sample_dataset",10,1.89112475837724,3
"345","AlkD","122-sample_dataset",10,0.221433709428297,3
"346","AlkD","122-sample_dataset",10,0.812375607829788,3
"347","AlkD","122-sample_dataset",10,0.941165030267488,3
"348","AlkD","122-sample_dataset",10,2.67268223745444,3
"349","AlkD","122-sample_dataset",10,-1.08097791582033,3
"350","AlkD","122-sample_dataset",10,1.47095882168711,3
"351","AlkD","122-sample_dataset",10,-2.15597607565977,3
"352","AlkD","122-sample_dataset",10,-1.57542303434284,3
"353","AlkD","122-sample_dataset",10,-0.350707198997911,3
"354","AlkD","122-sample_dataset",10,-1.95798256218936,3
"355","AlkD","122-sample_dataset",10,1.11504087024831,3
"356","AlkD","122-sample_dataset",10,-0.530923191811604,3
"357","AlkD","122-sample_dataset",10,1.6528220768666,3
"358","AlkD","122-sample_dataset",10,-1.29802302728777,3
"359","AlkD","122-sample_dataset",10,0.879939706926093,3
"360","AlkD","122-sample_dataset",10,-2.47318014522731,3
"361","AlkD","122-sample_dataset",10,-0.70192126419904,3
"362","AlkD","122-sample_dataset",10,1.08250699437861,3
"363","AlkD","122-sample_dataset",10,2.23343045429552,3
"364","AlkD","122-sample_dataset",10,-4.23444567584822,3
"365","AlkD","122-sample_dataset",10,3.7778308646036,3
"366","AlkD","122-sample_dataset",10,-0.426134721454598,3
"367","AlkD","122-sample_dataset",10,-0.715207550310594,3
"368","AlkD","122-sample_dataset",10,0.970523580799541,3
"369","AlkD","122-sample_dataset",10,-2.0907391483093,3
"370","AlkD","122-sample_dataset",10,-0.0291606684209475,3
"371","AlkD","122-sample_dataset",10,-3.22054969854595,3
"372","AlkD","122-sample_dataset",10,-0.400273139795669,3
"373","AlkD","122-sample_dataset",10,-0.775666126674959,3
"374","AlkD","122-sample_dataset",10,0.646610310844628,3
"375","AlkD","122-sample_dataset",10,1.85654585938112,3
"376","AlkD","122-sample_dataset",10,0.588768823284186,3
"377","AlkD","122-sample_dataset",10,1.70473107339664,3
"378","AlkD","122-sample_dataset",10,-0.438964856023387,3
"379","AlkD","122-sample_dataset",10,0.992637534824397,3
"380","AlkD","122-sample_dataset",10,-0.744891713362313,3
"381","AlkD","122-sample_dataset",10,-0.110304968529098,3
"382","AlkD","122-sample_dataset",10,-4.44535866642097,3
"383","AlkD","122-sample_dataset",10,-3.18282672572641,3
"384","AlkD","122-sample_dataset",10,-1.86879995351756,3
"385","AlkD","122-sample_dataset",10,2.51205976741939,3
"386","AlkD","122-sample_dataset",10,-1.55913217536353,3
"387","AlkD","122-sample_dataset",10,-1.26114298209636,3
"388","AlkD","122-sample_dataset",10,1.00500743626093,3
"389","AlkD","122-sample_dataset",10,2.38023154399964,3
"390","AlkD","122-sample_dataset",10,-0.528260423198342,3
"391","AlkD","122-sample_dataset",10,-3.91375588312392,3
"392","AlkD","122-sample_dataset",10,0.000683017426452542,3
"393","AlkD","122-sample_dataset",10,0.698267165501732,3
"394","AlkD","122-sample_dataset",10,0.4206650467804,3
"395","AlkD","122-sample_dataset",10,-0.331812922153173,3
"396","AlkD","122-sample_dataset",10,3.46607852498585,3
"397","AlkD","122-sample_dataset",10,0.392659690360749,3
"398","AlkD","122-sample_dataset",10,0.102906094938467,3
"399","AlkD","122-sample_dataset",10,0.105580132766523,3
"400","AlkD","122-sample_dataset",10,-2.16551256708982,3
"401","AlkD","122-sample_dataset",10,-0.1605242894842,3
"402","AlkD","122-sample_dataset",10,-1.96592556879044,3
"403","AlkD","122-sample_dataset",10,0.357992538432488,3
"404","AlkD","122-sample_dataset",10,2.7065065040148,3
"405","AlkD","122-sample_dataset",10,0.199145863060935,3
"406","AlkD","122-sample_dataset",10,1.31128232596297,3
"407","AlkD","122-sample_dataset",10,0.0230314165495412,3
"408","AlkD","122-sample_dataset",10,2.69744316774239,3
"409","AlkD","122-sample_dataset",10,0.436369639102687,3
"410","AlkD","122-sample_dataset",10,1.1655639743329,3
"411","AlkD","122-sample_dataset",10,-0.261464548833516,3
"412","AlkD","122-sample_dataset",10,-1.89689321867525,3
"413","AlkD","122-sample_dataset",10,-2.39594209147145,3
"414","AlkD","122-sample_dataset",10,-0.75184466378262,3
"415","AlkD","122-sample_dataset",10,0.643296921766692,3
"416","AlkD","122-sample_dataset",10,-0.528905638556163,3
"417","AlkD","122-sample_dataset",10,0.635867130878951,3
"418","AlkD","122-sample_dataset",10,-0.697509263289004,3
"419","AlkD","122-sample_dataset",10,-1.97239282485616,3
"420","AlkD","122-sample_dataset",10,-0.748313724166218,3
"421","AlkD","122-sample_dataset",10,1.44024429394726,3
"422","AlkD","122-sample_dataset",10,1.94427379279329,3
"423","AlkD","122-sample_dataset",10,-2.12156728733763,3
"424","AlkD","122-sample_dataset",10,2.53952711736903,3
"425","AlkD","122-sample_dataset",10,1.60495167692294,3
"426","AlkD","122-sample_dataset",10,1.06707681567914,3
"427","AlkD","122-sample_dataset",10,0.789772114157783,3
"428","AlkD","122-sample_dataset",10,-0.814851618024599,3
"429","AlkD","122-sample_dataset",10,-1.3923339652785,3
"430","AlkD","122-sample_dataset",10,-0.174632313947266,3
"431","AlkD","122-sample_dataset",10,3.91275834869029,3
"432","AlkD","122-sample_dataset",10,-0.460608503711024,3
"433","AlkD","122-sample_dataset",10,-0.579808848462861,3
"434","AlkD","122-sample_dataset",10,-0.0471355964326184,3
"435","AlkD","122-sample_dataset",10,NA,3
"436","AlkD","127-sample_dataset",10,-1.77692149141235,4
"437","AlkD","127-sample_dataset",10,-0.668836236709521,4
"438","AlkD","127-sample_dataset",10,-0.668836236709521,4
"439","AlkD","127-sample_dataset",10,1.51650352859108,4
"440","AlkD","127-sample_dataset",10,-0.176580028753309,4
"441","AlkD","127-sample_dataset",10,-0.176580028753282,4
"442","AlkD","127-sample_dataset",10,-0.0279750784800365,4
"443","AlkD","127-sample_dataset",10,1.55532543487479,4
"444","AlkD","127-sample_dataset",10,1.55532543487474,4
"445","AlkD","127-sample_dataset",10,-1.7574646489519,4
"446","AlkD","127-sample_dataset",10,-0.894771397573923,4
"447","AlkD","127-sample_dataset",10,0.648239455407069,4
"448","AlkD","127-sample_dataset",10,-3.46662187299468,4
"449","AlkD","127-sample_dataset",10,NA,4
"450","AlkD","142-sample_dataset",10,2.94275974326541,26
"451","AlkD","142-sample_dataset",10,-6.04424287006984,26
"452","AlkD","142-sample_dataset",10,-2.62574363704779,26
"453","AlkD","142-sample_dataset",10,-3.04371128334899,26
"454","AlkD","142-sample_dataset",10,0.120930550864953,26
"455","AlkD","142-sample_dataset",10,2.75060564686747,26
"456","AlkD","142-sample_dataset",10,-9.91636461376019,26
"457","AlkD","142-sample_dataset",10,4.37009174377209,26
"458","AlkD","142-sample_dataset",10,-5.59541002955932,26
"459","AlkD","142-sample_dataset",10,4.11522946146888,26
"460","AlkD","142-sample_dataset",10,6.21364819180615,26
"461","AlkD","142-sample_dataset",10,-3.67232721272946,26
"462","AlkD","142-sample_dataset",10,NA,26
"463","AlkD","143-sample_dataset",10,3.21652707225814,29
"464","AlkD","143-sample_dataset",10,0.85377499074484,29
"465","AlkD","143-sample_dataset",10,0.868786987625061,29
"466","AlkD","143-sample_dataset",10,0.548261353016588,29
"467","AlkD","143-sample_dataset",10,0.548261353016588,29
"468","AlkD","143-sample_dataset",10,-1.66256264196397,29
"469","AlkD","143-sample_dataset",10,NA,29
"470","AlkD","145-sample_dataset",10,-1.48831629323432,30
